00000000:Fri Feb 24 11:21:26 2006--> (ERROR) Could not create DirectSound performance object.
00000001:Fri Feb 24 11:21:26 2006--> (ERROR) Sound Driver initialization failed!
00000002:Fri Feb 24 11:21:26 2006--> (ERROR) Auto driver's init failed.
00000100:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000101:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000102:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000103:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000104:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000105:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000106:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000107:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000108:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000109:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000110:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000111:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000112:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000113:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000114:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000115:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000116:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000117:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000118:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000119:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000120:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000121:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000122:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000123:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000124:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000125:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000126:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000127:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000128:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000129:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000130:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000131:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000132:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000133:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000134:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000135:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000136:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000137:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000138:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000139:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000140:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000141:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000142:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000143:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000144:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000145:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000146:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000147:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000148:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000149:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000150:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000151:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000152:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000153:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000154:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000155:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000156:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000157:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000158:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000159:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000160:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000161:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000162:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000163:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000164:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000165:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000166:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000167:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000168:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000169:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000170:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000171:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000172:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000173:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000174:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000175:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000176:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000177:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000178:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000179:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000180:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000181:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000182:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000183:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000184:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000185:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000186:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000187:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000188:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000189:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000190:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000191:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000192:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000193:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000194:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000195:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000196:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000197:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000198:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000199:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000200:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000201:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000202:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000203:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000204:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000205:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000206:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000207:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000208:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000209:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000210:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000211:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000212:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000213:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000214:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000215:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000216:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000217:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000218:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000219:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000220:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000221:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000222:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000223:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000224:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000225:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000226:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000227:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000228:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000229:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000230:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000231:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000232:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000233:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000234:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000235:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000236:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000237:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000238:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000239:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000240:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000241:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000242:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000243:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000244:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000245:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000246:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000247:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000248:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000249:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000250:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000251:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000252:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000253:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000254:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000255:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000256:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000257:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000258:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000259:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000260:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000261:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000262:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000263:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000264:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000265:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000266:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000267:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000268:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000269:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000270:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000271:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000272:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000273:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000274:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000275:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000276:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000277:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000278:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000279:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000280:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000281:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000282:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000283:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000284:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000285:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000286:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000287:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000288:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000289:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000290:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000291:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000292:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000293:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000294:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000295:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000296:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000297:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000298:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000299:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000300:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000301:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000302:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000303:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000304:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000305:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000306:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000307:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000308:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000309:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000310:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000311:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000312:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000313:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000314:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000315:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000316:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000317:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000318:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000319:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000320:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000321:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000322:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000323:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000324:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000325:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000326:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000327:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000328:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000329:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000330:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000331:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000332:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000333:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000334:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000335:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000336:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000337:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000338:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000339:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000340:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000341:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000342:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000343:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000344:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
00000345:Fri Feb 24 11:21:56 2006--> (ERROR) Could not flip swap chain!
